Korean,Scientific,Value
회화나무,Sophora japonica,SOJA
느티나무,Zelkova serrata,ZESE
버즘나무,Platanus orientalis,PLOR
왕벚나무,Prunus yedoensis,PRYE
메타세쿼이아,Metasequoia glyptostroboides,MEGL
은행나무,Ginkgo biloba,GIBI
소나무,Pinus densiflora,PIDE
목련,Magnolia kobus,MAKO
참나무,Quercus aliena ,QUAL3
상수리나무,Quercus acutissima,QUAC
튤립나무,Liriodendron tulipifera,LITU
단풍나무,Acer palmatum,ACPA
칠엽수,Aesculus turbinata,AETU
향나무,Juniperus chinensis,JUCH
후박나무,Machilus thunbergii ,MAZU
아카시아나무,Robinia pseudoacacia,ROPS
청단풍,Acer palmatum var. dissectum ,ACPADI
양버즘나무,Platanus occidentalis,PLOC
계수나무,Cercidiphyllum japonicum ,CEJA
당단풍나무,Acer palmatum var. dissectum ,ACPADI
오동나무,Paulownia tomentosa,PATO
스트로브잣나무,Pinus strobus ,PIST
능수버들,Salix pseudomonticola,SAPS
현사시나무,Populus tomentiglandulosa,POTO3
구상나무,Abies koreana,ABKO
오리나무,Alnus japonica,ALJA
너도밤나무,Castanea crenata,CACR27
수양버들,Salix gracilistyla,SAGR
버드나무,Salix koreensis,SAKO
미루나무,Populus deltoides,PODE
측백나무,Thuja orientalis,THOR
자작나무,Betula platyphylla var. japonica ,BEPL2
굴참나무,Quercus variabilis ,QUVA1
편백,Chamaecyparis obtusa,CHOB
벚나무,Prunus serrulata var. spontanea ,PRSESP
고로쇠나무,Acer pictum subsp. mono,ACMO
갈참나무,Quercus aliena ,QUAL3
밤나무,Castanea crenata,CACR27
중국단풍,Acer buergerianum,ACBU
전나무,Abies holophylla,ABHO
살구나무,Prunus armeniaca var. ansu,PRAR
가죽나무,Styrax japonicus,STJA
홍단풍,Acer palmatum var. dissectum,ACPADI
이태리포플러,Populus euramericana x nigra,POEUNI
감나무,Diospyros kaki ,DIKA
아그배나무,Malus sieboldii ,MASI80
자귀나무,Albizia julibrissin,ALJU
자두나무,Prunus salicina,PRSA2
잣나무,Pinus koraiensis ,PIKO
가문비나무,Picea jezoensis,PIJE
모과나무,Chaenomeles japonica,CHJA2
뽕나무,Morus bombycis ,MOBO
함박꽃나무,Magnolia sieboldii,MASI
복자기,Acer triflorum,ACTR1
두충나무,Eucommia ulmoides,EUUL
벽오동,Firmiana simplex ,FISI
동백나무,Camellia japonica,CAJA9
분비나무,Picea jezoensis,PIJE
팽나무,Celtis sinensis ,CESI4
소사나무,Carpinus turczaninowii,
대왕참나무,Quercus palustris,QUPA
독일가문비,Picea abies,PIAB
보리수나무,Elaeagnus umbellata ,ELUM
호두나무,Juglans regia,JURE
떡갈나무,Quercus dentata,QUDE1
팥배나무,Sorbus alnifolia,SOAL
가래나무,Juglans mandshurica,JUMA1
고욤나무,Diospyros lotus,DILO1
대추나무,Zizyphus jujuba,ZIZI
은사시나무,Populus tomentiglandulosa,POTO3
사시나무,Populus tomentiglandulosa,POTO3
삼나무,Cryptomeria japonica,CRJA
은단풍,Acer saccharinum,ACSA1
때죽나무,Styrax japonicus,STJA
탱자나무,Poncirus trifoliata,POTR4
백송,Pinus bungeana ,
꽃사과,Malus floribunda ,MAFL80
복자기나무,Acer triflorum,ACTR1
층층나무,Cornus controversa ,COCO4
섬잣나무,Castanopsis sieboldii ,CASE1
물푸레나무,Fraxinus rhynchophylla 'Aureo-variegata',FRRH
이팝나무,Chionanthus retusus,CHRE
매화나무,Kerria japonica 'Variegata',KEJA
세열단풍,Acer palmatum var. dissectum ,ACPADI
배롱나무,Lagerstroemia indica,LAIN
느릅나무,Ulmus davidiana var. japonica,ULDA
리기다소나무,Pinus palustris,PIPA
주목나무,Taxus cuspidata,TACU
일본목련,Magnolia obovata,MAOB1
일본잎갈나무,Larix kaempferi ,LAKA2
위성류,Tamarix chinensis,TACH2
개암나무,Corylus heterophylla,COHE12
개잎갈나무,Cedrus deodara,CEDE
물오리나무,Alnus japonica,ALJA
라일락,Syringa vulgaris,SYVU
중국굴피나무,Platycarya strobilacea ,
눈향나무,Juniperus chinensis,JUCH
낙우송,Taxodium distichum,TADI
등나무,Wisteria floribunda,WIFL
히말라야시다,Pinus wallichiana,PIWA1
은백양,Populus alba,POAL
화백,Chamaecyparis pisifera,CHPI
산사나무,Crataegus pinnatifida,CRPI1
수수꽃다리,Syringa oblata var. dilatata,SYOBDI
보호수,,
쉬나무,Euodia daniellii ,TEDA
졸참나무,Quercus serrata,QUSE1
가시나무,Quercus myrsinifolia,QUMY1
신갈나무,Quercus mongolica,QUMO1
산뽕나무,Morus bombycis ,MOBO
사과나무,Malus floribunda ,MAFL80
실화백,Chamaecyparis pisifera,CHPI
복숭아나무,Prunus persica,PRPE2
왕버들,Salix chaenomeloides,SACO
음나무,Kalopanax septemlobus,KASE
돌배나무,Pyrus pyrifolia,PYPY2
비자나무,Torreya nucifera,TONU
잎갈나무,Quercus mongolica,QUMO1
백목련,Magnolia denudata,MADE
네군도단풍,Acer palmatum var. dissectum ,ACPADI
포플러나무,Populus deltoides,PODE
배나무,Pyrus pyrifolia,PYPY2
신나무,Acer tataricum,ACTA
개오동나무,Firmiana simplex ,FISI
가이즈까향나무,Juniperus chinensis var. sargentii,JUCH
붉나무,Rhus javanica,RHIN
별목련,Magnolia stellata,MAST
자목련,Magnolia kobus,MAKO
야광나무,Malus baccata,PYBA
옥향,Hosta plantaginea,DUPL
포도나무,Vitis vinifera,VIVI
말채나무,Cornus walteri ,SWWA
결주,,
모감주나무,Koelreuteria paniculata,KOPA
쪽동백나무,Styrax obassia ,STOB
참느릅나무,Ulmus parvifolia ,ULPA
섬피나무,Tilia amurensis,TIAM1
회나무,Buxus koreana ,BUYA
갈매나무,Rhamnus parvifolia,Shrub
산벚나무,Prunus sargentii ,PRSA
서어나무,Carpinus laxiflora,CALA2
서양측백,Thuja occidentalis,THOC
무궁화,Hibiscus syriacus,HISY
비술나무,Ulmus pumila,ULPU
방크스소나무,Pinus palustris,PIPA
히어리,Corylopsis spicata,COSP
명자나무,Chaenomeles japonica,CHJA2
용버들,Salix matsudana f. tortuosa,SAMA
귀룽나무,Prunus padus,PRPA
능소화,Campsis grandiflora,CAGR1
거제수나무,Cercidiphyllum japonicum ,CEJA
무화과,Ficus carica,FICA
겹벚나무,Prunus serrulata var. spontanea ,PRDO1
노간주나무,Juniperus rigida,JURI
좁은단풍,Acer palmatum var. dissectum ,ACPS1
곰솔나무,Pinus thunbergii  'Variegata',PITH1
석류나무,Punica granatum,PUGR
설탕단풍,Acer palmatum var. dissectum ,ACSA2
수원사시나무,Populus tomentiglandulosa,POTO3
은수원사시,Populus tomentiglandulosa,POTO3
물박달나무,Betula davurica,BETA
고사,Pteridium aquilinum var. latiusculum ,
풍단,Acer palmatum var. dissectum ,ACPADI
눈주목,Taxus cuspidata,TACU
수국,Hydrangea macrophylla,HYMA
괴불나무,Lonicera maackii,LOMA6
사철나무,Euonymus japonicus,EUJA
마로니에,Aesculus hippocastanum,AEHI
산딸나무,Cornus kousa,COKO
참오동,Paulownia tomentosa,PATO
꽃개오동,Firmiana simplex ,FISI
장미,Rosa sp.,ROSP3
두릅나무,Aralia elata,AREL8
생강나무,Lindera obtusiloba,LIOB1
오갈피나무,Eleutherococcus sessiliflorus ,ELSE
비목나무,Lindera erythrocarpa,LIBE
닥나무,Edgeworthia chrysantha,EDPA
산수유,Cornus officinalis,COOF
개쉬땅나무,Euodia daniellii ,TEDA
단풍버즘나무,Acer palmatum var. dissectum ,ACPADI
양벚나무,Prunus sargentii ,PRSA
섬벚나무,Prunus sargentii ,PRSA
들메나무,Fraxinus mandshurica,FRMA
매실나무,Prunus mume,PRMU2
참죽나무,Styrax japonicus,STJA
나무수국,Hydrangea paniculata,HYPA
우산고로쇠,Syneilesis aconitifolia,CNAC
고무나무,Ficus elastica,FIEL
눈잣나무,Pinus koraiensis ,PIKO
황벽나무,Phellodendron amurense,PHAM
참빗살나무,Euonymus hamiltonianus,EUHA9
루브라참나무,Quercus aliena ,QUAL3
쥐똥나무,Ligustrum obtusifolium ,LIOB
능금나무,Malus angustifolia,PYAN
신단풍,Acer palmatum var. dissectum ,ACPADI
솔송나무,Tsuga sieboldii ,TSCA
피나무,Tilia amurensis ,TIAM1
백일홍,Gomphrena globosa,COGL
양버들,Salix gracilistyla,SAGR
송양나무,Ehretia acuminata,EHAC
복나무,Garcinia?subelliptica,GASU
