구분,No.,Korean,Scientific,Family,구분,수량
1. 수목원 입구,1,가는잎처녀고사리,Parathelypteris beddomei,처녀고사리과,다년초,
1. 수목원 입구,2,개좀진고사리,Deparia x angustatum,개고사리과,다년초,
1. 수목원 입구,3,고비,Osmunda japonica ,고비과,다년초,
1. 수목원 입구,4,곰의말채나무,Cornus macrophylla,층층나무과,낙엽교목,2
1. 수목원 입구,5,관중,Dryopteris crassirhizoma ,관중과,다년초,
1. 수목원 입구,6,남천,Nandina domestica,매자나무과,낙엽관목,150
1. 수목원 입구,7,일본조팝 '골드 마운드',Spiraea japonica 'Gold Mound',장미과,낙엽관목,50
1. 수목원 입구,8,돌나물,Sedum sarmentosum,돌나물과,다년초,
1. 수목원 입구,9,동백나무,Camellia japonica,차나무과,상록관목,70
1. 수목원 입구,10,두릅나무,Aralia elata,두릅나무과,낙엽관목,1
1. 수목원 입구,11,때죽나무,Styrax japonicus,때죽나무과,낙엽관목,5
1. 수목원 입구,12,뜰보리수,Elaeagnus multiflora,보리수나무과,낙엽관목,1
1. 수목원 입구,13,말오줌때,Euscaphis japonica,고추나무과,낙엽관목,15
1. 수목원 입구,14,맥문동,Liriope platyphylla,백합과,다년초,
1. 수목원 입구,15,미국담쟁이덩굴,Parthenocissus quinquefolia ,포도과,낙엽덩굴목본,
1. 수목원 입구,16,박태기나무,Cercis chinensis,콩과,낙엽관목,15
1. 수목원 입구,17,뱀고사리,Athyrium yokoscense,개고사리과,다년초,
1. 수목원 입구,18,산검양옻나무,Rhus sylvestris,옻나무과,낙엽교목,3
1. 수목원 입구,19,산수국,Hydrangea serrata f. acuminata ,수국과,낙엽관목,150
1. 수목원 입구,20,산수유,Cornus officinalis,층층나무과,낙엽관목,4
1. 수목원 입구,21,삼지구엽초,Epimedium koreanum,매자나무과,다년초,
1. 수목원 입구,22,소나무,Pinus densiflora,소나무과,상록교목,다수
1. 수목원 입구,23,애기말발도리,Deutzia gracilis ,범의귀과,낙엽관목,200
1. 수목원 입구,24,영산홍,Rhododendron indicum ,진달래과,낙엽관목,다수
1. 수목원 입구,25,음나무,Kalopanax septemlobus,두릅나무과,낙엽교목,1
1. 수목원 입구,26,전나무,Abies holophylla,가문비나무과,상록교목,1
1. 수목원 입구,27,진달래,Rhododendron mucronulatum ,진달래과,낙엽관목,50
1. 수목원 입구,28,쪽동백나무,Styrax obassia ,때죽나무과,낙엽교목,1
1. 수목원 입구,29,풍접초,Cleome hassleriana,풍접초과,1년초,
1. 수목원 입구,30,후피향나무,Ternstroemia gymnanthera,차나무과,상록관목,6
2. 철쭉원,1,만첩산철쭉,Rhododendron yedoense,진달래과,낙엽관목,다수
2. 철쭉원,2,구골나무,Osmanthus heterophyllus ,물푸레나무과,상록관목,2
2. 철쭉원,3,꽝꽝나무,Ilex crenata,감탕나무과,상록관목,1
2. 철쭉원,4,눈향나무,Juniperus chinensis var. sargentii,측백나무과,상록관목,3
2. 철쭉원,5,다정큼나무,Rhaphiolepis indica var. umbellata,장미과,상록관목,1
2. 철쭉원,6,단풍철쭉,Enkianthus campanulatus ,진달래과,낙엽관목,5
2. 철쭉원,7,동백나무,Camellia japonica,차나무과,상록관목,8
2. 철쭉원,8,두릅나무,Aralia elata,두릅나무과,낙엽관목,1
2. 철쭉원,9,때죽나무,Styrax japonicus,때죽나무과,낙엽관목,5
2. 철쭉원,10,마가목,Sorbus commixta,장미과,낙엽관목,5
2. 철쭉원,11,무늬네군도단풍,Acer negundo 'Variegatum',단풍나무과,낙엽관목,1
2. 철쭉원,12,반송,Pinus densiflora f. multicaulis,소나무과,상록관목,3
2. 철쭉원,13,배롱나무,Lagerstroemia indica,부처꽃과,낙엽관목,3
2. 철쭉원,14,벚나무,Prunus serrulata var. spontanea ,장미과,낙엽교목,1
2. 철쭉원,15,보리수나무,Elaeagnus umbellata ,보리수나무과,낙엽관목,2
2. 철쭉원,16,비목나무,Lindera erythrocarpa,녹나무과,낙엽교목,2
2. 철쭉원,17,산딸나무,Cornus kousa,층층나무과,낙엽교목,4
2. 철쭉원,18,산벚나무,Prunus sargentii ,장미과,낙엽교목,1
2. 철쭉원,19,산수유,Cornus officinalis,층층나무과,낙엽관목,6
2. 철쭉원,20,산철쭉,Rhododendron yedoense f. poukhanense ,진달래과,낙엽관목,다수
2. 철쭉원,21,소나무,Pinus densiflora,진달래과,상록교목,2
2. 철쭉원,22,아그배나무,Malus sieboldii ,장미과,낙엽관목,1
2. 철쭉원,23,영산홍,Rhododendron indicum ,진달래과,낙엽관목,다수
2. 철쭉원,24,은목서,Osmanthus x fortunei ,물푸레나무과,상록관목,1
2. 철쭉원,25,자란,Bletilla striata,난초과,다년초,
2. 철쭉원,26,정금나무,Vaccinium oldhamii,진달래과,낙엽관목,5
2. 철쭉원,27,진달래,Rhododendron mucronulatum ,진달래과,낙엽관목,100
2. 철쭉원,28,참꽃나무,Rhododendron weyrichii,진달래과,낙엽관목,50
2. 철쭉원,29,천일홍,Gomphrena globosa,비름과,1년초,
2. 철쭉원,30,해바라기,Helianthus annuus,국화과,1년초,
2. 철쭉원,31,호랑가시나무,Ilex cornuta ,감탕나무과,상록관목,1
2. 철쭉원,32,홍단풍,Acer palmatum var. speciosum,단풍나무과,낙엽관목,9
2. 철쭉원,33,화살나무,Euonymus alatus,노박덩굴과,낙엽관목,9
2. 철쭉원,34,황철쭉,Rhododendron japonicum f. flavum,진달래과,낙엽관목,15
2. 철쭉원,35,후피향나무,Ternstroemia gymnanthera,차나무과,상록관목,7
3. 목련원,1,개나리,Forsythia koreana,물푸레나무과,낙엽관목,10
3. 목련원,2,겹백목련,Magnolia denudata (double),목련과,낙엽교목,1
3. 목련원,3,까실쑥부쟁이류,Aster sp.,국화과,다년초,
3. 목련원,4,꽃사과나무,Malus floribunda ,장미과,낙엽관목,4
3. 목련원,5,두릅나무,Aralia elata,두릅나무과,낙엽관목,1
3. 목련원,6,목련 '콜룸너 핑크',Magnolia 'Columnar Pink',목련과,낙엽교목,1
3. 목련원,7,목련류,Magnolia sp.,목련과,낙엽교목,25
3. 목련원,8,물억새,Miscanthus sacchariflorus,벼과,다년초,
3. 목련원,9,벌개미취,Aster koraiensis ,국화과,다년초,
3. 목련원,10,별목련,Magnolia stellata,목련과,낙엽교목,1
