위도,경도,수목명,CO2 Avoided (pounds),CO2 Avoided ($),Electricity Saved (kWh),Electricity Saved ($),Avoided Runoff (gallons),Avoided Runoff ($),O3 Removed (pounds),NO2 Removed (pounds),SO2 Removed (pounds),PM2.5 Removed (pounds)
37.5127499,126.8951304,건물,0,0,0,0,0,0,0,0,0,0
37.5131321,126.8946476,건물,0,0,0,0,0,0,0,0,0,0
37.5131253,126.8934995,건물,0,0,0,0,0,0,0,0,0,0
37.512220500000005,126.8956404,건물,0,0,0,0,0,0,0,0,0,0
37.5120338,126.89579779999998,건물,0,0,0,0,0,0,0,0,0,0
37.489149499999996,126.90051799999999,건물,0,0,0,0,0,0,0,0,0,0
37.48962879999999,126.900621,건물,0,0,0,0,0,0,0,0,0,0
37.490379600000004,126.9007726,건물,0,0,0,0,0,0,0,0,0,0
37.490767600000005,126.9011778,건물,0,0,0,0,0,0,0,0,0,0
37.5320821,126.8933936,건물,0,0,0,0,0,0,0,0,0,0
37.532489399999996,126.89359420000001,건물,0,0,0,0,0,0,0,0,0,0
37.5330203,126.89604569999999,건물,0,0,0,0,0,0,0,0,0,0
37.534564,126.89707709999999,건물,0,0,0,0,0,0,0,0,0,0
37.5351445,126.89755530000001,건물,0,0,0,0,0,0,0,0,0,0
37.535533,126.89799620000001,건물,0,0,0,0,0,0,0,0,0,0
37.5367278,126.89690949999999,건물,0,0,0,0,0,0,0,0,0,0
37.5367315,126.8967779,건물,0,0,0,0,0,0,0,0,0,0
37.5330441,126.89440859999999,건물,0,0,0,0,0,0,0,0,0,0
37.536839799999996,126.8964791,건물,0,0,0,0,0,0,0,0,0,0
37.536426500000005,126.89647279999998,건물,0,0,0,0,0,0,0,0,0,0
37.5364862,126.8960494,건물,0,0,0,0,0,0,0,0,0,0
37.536883200000005,126.89635619999999,건물,0,0,0,0,0,0,0,0,0,0
37.536643299999994,126.89594240000001,건물,0,0,0,0,0,0,0,0,0,0
37.5366911,126.8959827,건물,0,0,0,0,0,0,0,0,0,0
37.5327713,126.9047419,건물,0,0,0,0,0,0,0,0,0,0
37.5338254,126.9027003,건물,0,0,0,0,0,0,0,0,0,0
37.535066,126.90068470000001,건물,0,0,0,0,0,0,0,0,0,0
37.535255600000006,126.8995545,건물,0,0,0,0,0,0,0,0,0,0
37.4960376,126.90226409999998,건물,0,0,0,0,0,0,0,0,0,0
37.4965636,126.901175,건물,0,0,0,0,0,0,0,0,0,0
37.4964448,126.9021463,건물,0,0,0,0,0,0,0,0,0,0
37.4963589,126.90204409999998,건물,0,0,0,0,0,0,0,0,0,0
37.4966435,126.9020583,건물,0,0,0,0,0,0,0,0,0,0
37.496186,126.9024207,건물,0,0,0,0,0,0,0,0,0,0
37.4965342,126.9022868,건물,0,0,0,0,0,0,0,0,0,0
37.513008,126.9212199,건물,0,0,0,0,0,0,0,0,0,0
37.513106,126.9214702,건물,0,0,0,0,0,0,0,0,0,0
37.5132722,126.92173000000001,건물,0,0,0,0,0,0,0,0,0,0
37.513537299999996,126.9224699,건물,0,0,0,0,0,0,0,0,0,0
37.5129344,126.9227076,건물,0,0,0,0,0,0,0,0,0,0
37.512598600000004,126.924621,건물,0,0,0,0,0,0,0,0,0,0
37.512552500000005,126.9246008,건물,0,0,0,0,0,0,0,0,0,0
37.512421200000006,126.92454199999999,건물,0,0,0,0,0,0,0,0,0,0
37.5334159,126.90345890000002,건물,0,0,0,0,0,0,0,0,0,0
37.521185700000004,126.9326031,건물,0,0,0,0,0,0,0,0,0,0
37.4965604,126.9020906,건물,0,0,0,0,0,0,0,0,0,0
37.5215995,126.93160959999999,건물,0,0,0,0,0,0,0,0,0,0
37.5124843,126.9242864,건물,0,0,0,0,0,0,0,0,0,0
37.5128859,126.92520320000001,건물,0,0,0,0,0,0,0,0,0,0
37.519796,126.9061188,건물,0,0,0,0,0,0,0,0,0,0
37.5118766,126.90953770000002,건물,0,0,0,0,0,0,0,0,0,0
37.5119982,126.90945090000001,건물,0,0,0,0,0,0,0,0,0,0
37.4933661,126.8980722,건물,0,0,0,0,0,0,0,0,0,0
37.525965899999996,126.9261175,건물,0,0,0,0,0,0,0,0,0,0
37.5208782,126.93131629999999,건물,0,0,0,0,0,0,0,0,0,0
37.520805100000004,126.93787859999999,건물,0,0,0,0,0,0,0,0,0,0
37.5211689,126.9334578,건물,0,0,0,0,0,0,0,0,0,0
37.5227317,126.92952209999999,건물,0,0,0,0,0,0,0,0,0,0
37.521760799999996,126.932061,건물,0,0,0,0,0,0,0,0,0,0
37.4881614,126.8977747,건물,0,0,0,0,0,0,0,0,0,0
37.5128635,126.92291809999999,건물,0,0,0,0,0,0,0,0,0,0
37.512936200000006,126.92314990000001,건물,0,0,0,0,0,0,0,0,0,0
37.4923091,126.9017889,건물,0,0,0,0,0,0,0,0,0,0
37.4925673,126.9020189,건물,0,0,0,0,0,0,0,0,0,0
37.5136666,126.92188159999999,건물,0,0,0,0,0,0,0,0,0,0
37.5137098,126.922122,건물,0,0,0,0,0,0,0,0,0,0
37.513195,126.92188,건물,0,0,0,0,0,0,0,0,0,0
37.5130527,126.9220015,건물,0,0,0,0,0,0,0,0,0,0
37.51298320000001,126.9219709,건물,0,0,0,0,0,0,0,0,0,0
37.4923675,126.9014061,건물,0,0,0,0,0,0,0,0,0,0
37.4921967,126.90141000000001,건물,0,0,0,0,0,0,0,0,0,0
37.492164,126.9013301,건물,0,0,0,0,0,0,0,0,0,0
37.492659100000004,126.90193490000001,건물,0,0,0,0,0,0,0,0,0,0
37.492723100000006,126.9018703,건물,0,0,0,0,0,0,0,0,0,0
37.4925795,126.9015834,건물,0,0,0,0,0,0,0,0,0,0
37.5136802,126.92232609999999,건물,0,0,0,0,0,0,0,0,0,0
37.5130407,126.92246580000001,건물,0,0,0,0,0,0,0,0,0,0
37.5086141,126.90627109999998,건물,0,0,0,0,0,0,0,0,0,0
37.515311100000005,126.8943327,건물,0,0,0,0,0,0,0,0,0,0
37.516874,126.89487549999998,건물,0,0,0,0,0,0,0,0,0,0
37.518248799999995,126.89448349999999,건물,0,0,0,0,0,0,0,0,0,0
37.518237299999996,126.89594699999999,건물,0,0,0,0,0,0,0,0,0,0
37.5189182,126.89462830000001,건물,0,0,0,0,0,0,0,0,0,0
37.5085045,126.9060027,건물,0,0,0,0,0,0,0,0,0,0
37.5084605,126.90622920000001,건물,0,0,0,0,0,0,0,0,0,0
37.5096341,126.9071105,건물,0,0,0,0,0,0,0,0,0,0
37.5095658,126.90693130000001,건물,0,0,0,0,0,0,0,0,0,0
37.499258600000005,126.8983497,건물,0,0,0,0,0,0,0,0,0,0
37.5007271,126.8977165,건물,0,0,0,0,0,0,0,0,0,0
