위도,경도,수목명,CO2 Avoided (pounds),CO2 Avoided ($),Electricity Saved (kWh),Electricity Saved ($),Avoided Runoff (gallons),Avoided Runoff ($),O3 Removed (pounds),NO2 Removed (pounds),SO2 Removed (pounds),PM2.5 Removed (pounds)
37.511866,126.91013000000001,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5232614,126.92095590000001,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.4943283,126.9052874,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.521029999999996,126.91962590000001,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.524212299999995,126.9269742,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5236605,126.9334923,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5274139,126.89900540000001,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5238328,126.9337673,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5194557,126.92977959999999,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.521820399999996,126.92157479999999,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.527730299999995,126.9231712,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5264884,126.9021142,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5218051,126.8938561,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.531082399999995,126.92161670000002,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5243646,126.8918511,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.4999633,126.9039601,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.508750299999996,126.91103500000001,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.531305700000004,126.92033149999999,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5218734,126.89341090000002,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5204745,126.90256550000001,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5233987,126.9266981,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.500735999999996,126.90295800000001,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5280523,126.917253,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5036119,126.9019933,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.522937799999994,126.92937090000001,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.527901299999996,126.9173993,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.523461299999994,126.92679720000001,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5143922,126.8876373,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.523564,126.9164769,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.51453970000001,126.88771229999999,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5033905,126.90147140000002,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5334325,126.894153,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5063446,126.9008058,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.520092299999995,126.9387054,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5220757,126.9194768,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5207361,126.91915420000001,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5269978,126.91551299999999,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
37.5186702,126.92549650000001,은행나무,2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
