,GI,TG,CO2 Avoided (pounds),CO2 Avoided ($),CO2 Sequestered (pounds),CO2 Sequestered ($),Electricity Saved (kWh),Electricity Saved ($),Fuel Saved (MMBtu),Fuel Saved ($),Tree Biomass (short ton),Rainfall Interception (gallons),Avoided Runoff (gallons),Avoided Runoff ($),O3 Removed (pounds),NO2 Avoided (pounds),NO2 Removed (pounds),SO2 Avoided (pounds),SO2 Removed (pounds),VOC Avoided (pounds),PM2.5 Avoided (pounds),PM2.5 Removed (pounds)
2,1,(1) Ginkgo (Ginkgo biloba)  at 32.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"4,456.3",$103.64,"2,546.3",$292.48,52.4,$660.93,2.8,"86,023.7","11,689.4",$104.46,26.7,1.9,7.7,31.5,3.5,0.3,0.2,0.7
3,2,(1) Ginkgo (Ginkgo biloba)  at 31.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"4,264.9",$99.19,"2,546.3",$292.48,52.4,$660.93,2.6,"83,842.9","11,393.1",$101.81,26.9,1.9,7.8,31.5,3.5,0.3,0.2,0.8
4,3,(1) Ginkgo (Ginkgo biloba)  at 30.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"4,076.4",$94.80,"2,546.3",$292.48,52.4,$660.93,2.4,"81,566.8","11,083.8",$99.05,27.0,1.9,8.0,31.5,3.5,0.3,0.2,0.8
5,4,(1) Ginkgo (Ginkgo biloba)  at 22.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"2,860.0",$66.51,"2,546.3",$292.48,52.4,$660.93,1.3,"61,332.8","8,334.3",$74.48,27.1,1.9,8.6,31.5,3.4,0.3,0.2,1.1
6,5,(1) Ginkgo (Ginkgo biloba)  at 24.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"3,087.9",$71.82,"2,546.3",$292.48,52.4,$660.93,1.6,"66,519.0","9,039.0",$80.77,27.4,1.9,8.5,31.5,3.4,0.3,0.2,1.1
7,6,(1) Ginkgo (Ginkgo biloba)  at 21.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"2,765.7",$64.32,"2,546.3",$292.48,52.4,$660.93,1.2,"58,755.7","7,984.1",$71.35,26.9,1.9,8.6,31.5,3.3,0.3,0.2,1.2
8,7,(1) Ginkgo (Ginkgo biloba)  at 29.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"3,890.9",$90.49,"2,546.3",$292.48,52.4,$660.93,2.3,"79,200.7","10,762.3",$96.17,27.2,1.9,8.1,31.5,3.5,0.3,0.2,0.9
9,8,(1) Ginkgo (Ginkgo biloba)  at 26.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"3,373.3",$78.45,"2,546.3",$292.48,52.4,$660.93,1.8,"71,692.5","9,742.0",$87.05,27.5,1.9,8.4,31.5,3.5,0.3,0.2,1.0
10,9,(1) Ginkgo (Ginkgo biloba)  at 25.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"3,223.5",$74.97,"2,546.3",$292.48,52.4,$660.93,1.7,"69,112.6","9,391.5",$83.92,27.5,1.9,8.5,31.5,3.5,0.3,0.2,1.0
11,10,(1) Ginkgo (Ginkgo biloba)  at 28.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"3,709.5",$86.27,"2,546.3",$292.48,52.4,$660.93,2.1,"76,753.9","10,429.8",$93.20,27.3,1.9,8.2,31.5,3.5,0.3,0.2,0.9
