수목명,흉고지름,Condition,Value,CO2 Avoided (pounds),CO2 Avoided ($),CO2 Sequestered (pounds),CO2 Sequestered ($),Electricity Saved (kWh),Electricity Saved ($),Fuel Saved (MMBtu),Fuel Saved ($),Tree Biomass (short ton),Rainfall Interception (gallons),Avoided Runoff (gallons),Avoided Runoff ($),O3 Removed (pounds),NO2 Avoided (pounds),NO2 Removed (pounds),SO2 Avoided (pounds),SO2 Removed (pounds),VOC Avoided (pounds),PM2.5 Avoided (pounds),PM2.5 Removed (pounds)
회화나무,15.0,Fair,SOJA,"3,170.9",$73.74,"2,150.0",$50.00,"2,518.3",$284.29,2.4,$37.83,1.5,"42,133.8",266.5,$2.38,13.8,0.5,0.5,12.0,1.0,0.1,0.9,0.7
회화나무,26.0,Excellent,SOJA,"3,432.4",$79.83,9.9,$0.23,"2,757.9",$311.34,2.4,$37.83,4.5,"71,165.3",450.1,$4.02,23.2,0.5,0.9,13.0,1.7,0.1,0.9,1.1
회화나무,30.0,Excellent,SOJA,"3,432.4",$79.83,12.6,$0.29,"2,757.9",$311.34,2.4,$37.83,6.7,"72,785.1",460.4,$4.11,23.7,0.5,0.9,13.0,1.8,0.1,0.9,1.1
회화나무,24.0,Excellent,SOJA,"3,432.4",$79.83,8.6,$0.20,"2,757.9",$311.34,2.4,$37.83,3.6,"68,754.3",434.9,$3.89,22.7,0.5,0.8,13.0,1.7,0.1,0.9,1.1
회화나무,21.0,Excellent,SOJA,"3,432.4",$79.83,6.8,$0.16,"2,757.9",$311.34,2.4,$37.83,2.5,"63,280.4",400.3,$3.58,21.4,0.5,0.8,13.0,1.6,0.1,0.9,1.1
회화나무,22.0,Excellent,SOJA,"3,432.4",$79.83,7.4,$0.17,"2,757.9",$311.34,2.4,$37.83,2.9,"65,339.8",413.3,$3.69,21.9,0.5,0.8,13.0,1.6,0.1,0.9,1.1
회화나무,32.0,Excellent,SOJA,"3,432.4",$79.83,14.1,$0.33,"2,757.9",$311.34,2.4,$37.83,8.0,"72,785.1",460.4,$4.11,23.8,0.5,0.9,13.0,1.8,0.1,0.9,1.1
회화나무,31.0,Excellent,SOJA,"3,432.4",$79.83,13.4,$0.31,"2,757.9",$311.34,2.4,$37.83,7.3,"72,785.1",460.4,$4.11,23.7,0.5,0.9,13.0,1.8,0.1,0.9,1.1
회화나무,23.0,Excellent,SOJA,"3,432.4",$79.83,8.0,$0.19,"2,757.9",$311.34,2.4,$37.83,3.2,"67,168.0",424.8,$3.80,22.3,0.5,0.8,13.0,1.7,0.1,0.9,1.1
회화나무,27.0,Excellent,SOJA,"3,432.4",$79.83,10.5,$0.24,"2,757.9",$311.34,2.4,$37.83,5.0,"71,976.2",455.3,$4.07,23.4,0.5,0.9,13.0,1.8,0.1,0.9,1.1
