CO2_Pound,CO2_Dollar,Electricity_kWh,Electricity_Dollar,Runoff_Gallons,Runoff_Dollar,O3_Pound,NO2_Pound,SO2_Pound,PM25_Pound
21181.0,492.61,4229.8,519.39,16415.4,146.69,32.5,6.3,3.3,1.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63543.0,1477.83,12689.400000000001,1558.17,50359.899999999994,450.01,98.7,19.1,9.899999999999999,5.3
42362.0,985.22,8459.6,1038.78,33272.4,297.32,67.69999999999999,13.2,6.8,3.7
5760.6,133.98,4504.2,508.48,682.0,6.09,33.6,1.2,2.5,1.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42362.0,985.22,8459.6,1038.78,34438.9,307.74,66.5,12.9,6.7,3.5
24061.3,559.6,6481.9,773.63,17153.9,153.29,54.1,7.1,4.9,2.5
13942.800000000001,324.27,11532.599999999999,1782.1799999999998,23629.2,211.15,45.900000000000006,2.7,2.4000000000000004,3.3000000000000003
5760.6,133.98,4504.2,508.48,772.3,6.9,36.3,1.2999999999999998,2.8,1.6
2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42362.0,985.22,8459.6,1038.78,32246.300000000003,288.15,64.2,12.5,6.5,3.4
42362.0,985.22,8459.6,1038.78,38237.0,341.68,70.4,13.5,7.1,3.6
19363.600000000002,450.34999999999997,9217.3,973.79,1796.0,16.060000000000002,75.4,2.5999999999999996,5.3,2.6000000000000005
2880.3,66.99,2252.1,254.24,379.0,3.39,18.2,0.7,1.4,0.8
21181.0,492.61,4229.8,519.39,14625.5,130.69,29.9,5.8,3.0,1.6
21263.4,494.53,7050.5,805.78,2459.9,21.98,66.6,2.3,3.4,2.5
18383.1,427.54,4798.4,551.54,2036.6,18.2,51.8,1.8,2.2,1.9000000000000001
5760.6,133.98,4504.2,508.48,1011.3000000000001,9.04,42.4,1.6,3.2,1.6
11930.1,277.46,3381.8,315.02,581.6,5.199999999999999,31.2,1.1,1.8,1.1
2880.3,66.99,2252.1,254.24,318.3,2.84,15.9,0.6,1.2,0.7
2880.3,66.99,2252.1,254.24,348.5,3.11,17.1,0.6,1.3,0.8
42362.0,985.22,8459.6,1038.78,38227.8,341.61,70.19999999999999,13.399999999999999,7.1,3.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
42362.0,985.22,8459.6,1038.78,31064.699999999997,277.59000000000003,62.5,12.2,6.300000000000001,3.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2880.3,66.99,2252.1,254.24,379.0,3.39,18.2,0.7,1.4,0.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29821.9,693.5799999999999,10986.099999999999,1282.1100000000001,36040.600000000006,322.05,79.0,6.6,6.9,3.1000000000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5760.6,133.98,4504.2,508.48,742.7,6.640000000000001,35.9,1.2999999999999998,2.7,1.6
21181.0,492.61,4229.8,519.39,22777.0,203.54,36.5,6.9,3.7,1.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42362.0,985.22,8459.6,1038.78,30889.7,276.03,53.3,10.100000000000001,5.4,2.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24061.3,559.6,6481.9,773.63,20538.4,183.53,54.5,7.5,5.0,2.5
2880.3,66.99,2252.1,254.24,333.3,2.98,16.5,0.6,1.3,0.8
2880.3,66.99,2252.1,254.24,348.5,3.11,17.1,0.6,1.3,0.8
34525.7,802.97,6567.6,787.9300000000001,40438.2,361.35,58.2,12.6,5.3,3.4
21181.0,492.61,4229.8,519.39,9740.8,87.04,16.8,3.2,1.7,0.8
21181.0,492.61,4229.8,519.39,9740.8,87.04,16.8,3.2,1.7,0.8
24061.3,559.6,6481.9,773.63,17906.4,160.01,51.5,7.1,4.7,2.6
24061.3,559.6,6481.9,773.63,19840.9,177.29,46.5,7.2,4.4,2.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40034.100000000006,931.08,7013.400000000001,805.6200000000001,134880.0,1205.29,72.5,15.7,6.1,2.4
5760.6,133.98,4504.2,508.48,788.0,7.04,37.2,1.2999999999999998,2.8,1.6
12844.3,298.71999999999997,4238.8,498.19,10550.4,94.28,35.6,3.5,3.2,1.4
13344.7,310.36,2337.8,268.54,51177.3,457.32,23.2,4.8,2.0,0.6
53378.8,1241.44,9351.2,1074.16,67930.6,607.02,78.5,19.799999999999997,5.999999999999999,5.3999999999999995
10722.7,249.38,2461.0,211.07,106.2,0.95,8.7,0.3,0.2,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45242.3,1052.21,10711.7,1293.02,38104.8,340.51,88.2,14.2,8.5,4.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
