,sector
0,52
2,29
3,63
4,11
7,42
8,14
9,62
10,22
11,4
13,9
14,70
15,49
16,72
17,5
18,16
19,10
20,68
21,92
22,56
23,21
24,86
26,17
27,38
31,52
33,66
35,6
36,84
38,36
40,61
41,2
42,17
43,89
44,97
45,60
46,7
47,2
50,13
51,27
52,97
53,30
54,73
55,94
57,28
65,10
66,28
67,42
68,32
69,69
70,37
72,79
74,94
84,68
85,72
87,5
89,73
101,47
103,24
104,30
106,69
107,70
108,20
109,59
110,6
111,14
112,46
124,3
125,58
126,34
128,96
129,89
130,41
133,20
134,22
148,28
149,24
150,47
151,13
160,14
161,13
162,37
163,36
190,97
191,46
192,69
193,27
198,21
199,75
217,84
222,23
223,60
224,14
225,36
226,84
227,35
233,73
234,41
251,85
258,20
259,12
260,50
262,70
263,70
270,38
271,40
272,20
294,40
296,2
299,33
300,68
309,19
310,30
311,30
337,2
338,12
348,23
349,62
350,52
373,25
389,58
390,98
391,63
415,97
416,63
427,44
428,86
429,60
450,89
452,61
463,10
464,42
465,60
485,79
486,5
490,97
491,4
504,28
505,10
506,23
523,62
524,74
525,11
526,40
528,27
529,55
543,22
544,59
560,63
561,97
562,6
563,2
564,5
565,66
566,66
571,28
572,22
573,54
590,37
591,78
592,10
606,40
607,68
608,21
617,17
618,5
619,64
620,21
639,53
640,4
651,38
652,7
653,92
654,2
665,17
666,78
667,30
685,16
686,6
687,31
696,89
697,51
698,72
701,87
713,2
714,34
733,52
735,3
736,40
737,87
744,96
745,46
746,16
761,17
762,2
783,86
784,43
785,82
791,8
792,96
808,77
810,36
811,96
812,32
834,22
835,26
840,58
841,58
842,11
850,54
857,37
860,36
861,66
862,45
887,26
888,48
891,79
892,59
893,82
908,87
909,60
910,7
934,61
935,13
937,76
938,46
952,88
953,20
975,14
976,89
978,67
979,63
980,61
990,28
991,57
994,25
995,72
996,89
1012,68
1021,37
1022,68
1023,31
1035,78
1036,31
1038,49
1039,60
1040,54
1067,14
1068,62
1069,72
1070,61
1080,37
1081,59
1082,37
1083,19
1084,32
1086,72
1113,63
1114,95
1115,2
1116,31
1117,12
1118,82
1129,61
1130,18
1131,52
1156,96
1157,36
1158,12
1161,37
1162,43
1163,42
1179,96
1201,48
1202,73
1207,17
1208,48
1209,74
1218,82
1219,86
1229,12
1230,52
1231,54
1232,14
1241,56
1242,12
1244,86
1245,83
1247,36
1251,79
1252,85
1253,2
1259,43
1260,38
1268,49
1279,96
1282,9
1283,31
1284,69
1285,30
1290,44
1296,32
1297,63
1298,0
1299,62
1300,14
1301,42
1302,82
1304,17
1305,44
1313,1
1314,61
1328,46
1329,63
1334,28
1335,10
1336,14
1338,27
1345,36
1346,76
1347,18
1348,46
1349,39
1350,44
1352,27
1353,27
1363,51
1364,56
1372,82
1378,30
1379,64
1380,5
1381,63
1387,76
1388,23
1389,14
1391,24
1392,3
1401,25
1402,11
1403,2
1409,5
1411,17
1412,96
1413,12
1419,86
1421,17
1422,40
1423,27
1424,62
1427,82
1430,11
1431,69
1432,73
1433,63
1444,5
1445,66
1446,89
1447,17
1454,59
1455,77
1457,68
1458,96
1459,87
1462,69
1463,14
1466,59
1467,53
1468,37
1469,60
1471,24
1474,10
1475,62
1476,85
1477,2
1490,1
1491,54
1492,61
1493,86
1494,86
1500,69
1501,10
1502,44
1503,52
1505,9
1511,39
1515,59
1516,54
1517,43
1519,77
1520,46
1521,50
1523,17
1524,45
1539,3
1540,17
1543,24
1544,2
1551,51
1552,21
1553,12
1554,17
1555,72
1557,18
1563,1
1564,84
1565,30
1568,12
1569,37
1570,97
1571,24
1572,8
1577,54
1588,38
1589,26
1590,41
1591,17
1592,27
1593,97
1600,15
1601,66
1602,72
1603,38
1604,11
1605,52
1606,30
1607,37
1608,28
1616,37
1618,45
1619,82
1620,15
1621,40
1624,11
1625,45
1626,88
1627,20
1633,49
1644,37
1645,3
1646,40
1647,33
1648,20
